Time,Pontos,Vitórias,Empates,Derrotas,Gols Pró,Gols Contra
Liverpool,99,32,3,3,85,33
Manchester City,81,26,3,9,102,35
Manchester United,66,18,12,8,66,36
Chelsea,66,20,6,12,69,54
Leicester City,62,18,8,12,67,41
Tottenham Hotspur,59,16,11,11,61,47
Wolverhampton Wanderers,59,15,14,9,51,40
Arsenal,56,14,14,10,56,48
Sheffield United,54,14,12,12,39,39
Burnley,54,15,9,14,43,50
Southampton,52,15,7,16,51,60
Everton,49,13,10,15,44,56
Newcastle United,44,11,11,16,38,58
Crystal Palace,43,11,10,17,31,50
Brighton & Hove Albion,41,9,14,15,39,54
West Ham United,39,10,9,19,49,62
Aston Villa,35,9,8,21,41,67
Bournemouth,34,9,7,22,40,65
Watford,34,8,10,20,36,64
Norwich City,21,5,6,27,26,75
